Identifier,Serotype
2513020041,O16:H48
2516143027,O46:H31
2516143081,O32:H37
2518645559,O104:H4
2519899560,O111:H8
2519899563,O111:H11
2519899564,O26:H11
2519899565,O26:H11
2519899566,O26:H11
2521172732,O111:H21
2521172733,O111:H21
2522572164,O104:H4
2522572165,O104:H4
2523533510,O104:H4
2526164594,O157:H7
2526164595,O111:H21
2526164596,O111:H21
2526164597,O128:H21
2526164598,O128:H7
2526164599,O128:H7
2526164601,O26:H11
2526164602,O157:H7
2526164603,O157:H7
2526164604,O157:H7
2526164628,O128:H7
2526164629,O128:H2
2526164630,O45:H2
2526164631,O111:H2
2526164632,O111:H2
2526164633,O111:H2
2526164634,O111:H2
2526164653,O104:H4
2526164661,O128:H21
2526164662,O15:H11
2526164663,O26:H11
2526164667,O26:H11
2526164668,O128:H2
2526164669,O128:H2
2526164670,O105:H7
2526164674,O157:H7
2526164688,O26:H11
2526164690,O111:H11
2526164691,O26:H11
2529292717,O114:H49
2529292718,O6:H16
2529292719,O6:H16
2529292720,O114:H49
2529292721,O115:H5
2529292723,O114:H49
2529292724,O114:H49
2529292728,O111:H11
2529292730,O26:H11
2529292734,-:H21
2529292747,O157:H7
2529292755,O104:H4
2529292758,O2:H6
2529292759,O1:H7
2529292828,O109:H51
2529292829,O62:H12
2529292830,O25:H16
2529292831,O115:H5
2529292832,O115:H5
2529292835,O115:H5
2529292836,O25:H16
2529292837,O114:H49
2529292853,-:H18
2529292871,O55:H7
2529292874,-:H7
2529292882,O88:H21
2529292883,O187:H9
2529292885,O157:H7
2529292887,O6:H34
2529292888,O157:H7
2529292905,O55:H7
2529292907,O111:H12
2529292910,O111:H4
2529292913,O157:H43
2529292919,-:H6
2529292920,O55:H6
2529292972,O157:H7
2529292973,O157:H7
2529292978,-:H7
2529292979,-:H7
2529292980,O157:H7
2529292981,O157:H7
2529292997,O77/O17/O44/O106/O73:H18
2529292998,O127:H27
2529293000,O2:H6
2529293037,O157:H7
2529293039,O55:H6
2529293043,O157:H7
2529293050,O104:H4
2529293061,O146:H19
2529293062,-:H19
2529293063,-:H19
2529293065,O146:H19
2529293070,O157:H7
2529293075,-:H7
2529293076,O157:H7
2529293078,O157:H7
2529293082,O157:H7
2529293084,O157:H7
2529293139,-:H11
2529293140,O9:H9
2529293142,O128:H2
2529293145,O8:H9
2529293170,O157:H7
2529293172,O55:H7
2529293213,O157:H7
2529293215,O157:H7
2529293216,O157:H7
2529293218,O157:H7
2529293219,-:H7
2529293249,O8/O46/O134:H53
2531839027,O157:H7
2531839028,O157:H7
2531839029,O157:H7
2531839030,O157:H7
2531839031,O157:H7
2531839032,O157:H7
2531839036,O157:H7
2531839099,O157:H7
2531839127,O153:H12
2531839143,O1:H6
2531839144,O8:H10
2531839145,O13/O135:H4
2531839149,O100:H18
2531839152,-:H7
2531839153,-:H7
2531839157,O157:H7
2531839158,O157:H7
2531839200,O157:H7
2531839235,O157:H7
2531839236,-:H7
2531839252,O83:H27
2531839253,O4:H5
2531839254,O77/O17/O44/O106/O73:H18
2531839330,-:H18
2531839368,O157:H7
2531839369,O157:H7
2531839371,O11:H4
2531839409,O25:H1
2531839432,O65:H27
2531839434,O65:H27
2531839435,O65:H27
2531839436,O65:H27
2531839437,O65:H27
2531839438,O65:H27
2531839439,O65:H27
2531839441,O65:H27
2531839446,O157:H45
2531839448,O8:H19
2531839450,O96:H49
2531839454,O78:H12
2531839468,O111:H38
2531839476,O126:H2
2531839481,O2:H6
2531839523,O25:H42
2531839524,O169:H41
2531839528,O6:H16
2531839531,O98:H32
2531839555,O1:H7
2531839583,O9:H4
2531839619,O157:H7
2531839620,O157:H7
2531839622,O157:H7
